Timestamp, percent_filled
2/14/2023 13:26,0.83
2/14/2023 13:27,0.84
2/14/2023 13:30,0.85
2/14/2023 13:31,0.86
2/14/2023 13:33,0.87
2/14/2023 13:35,0.88
2/14/2023 13:36,0.87
2/14/2023 13:37,0.88
2/14/2023 13:40,0.83
2/14/2023 13:41,0.8
2/14/2023 13:42,0.81
2/14/2023 13:49,0.77
2/14/2023 13:50,0.77
2/14/2023 13:51,0.79
2/14/2023 13:52,0.8
2/14/2023 13:56,0.78
2/14/2023 13:57,0.8
2/14/2023 14:00,0.84
2/14/2023 14:01,0.81
2/14/2023 14:02,0.79
2/14/2023 14:05,0.77
2/14/2023 14:06,0.79
2/14/2023 14:07,0.8
2/14/2023 14:10,0.8
2/14/2023 14:11,0.83
2/14/2023 14:12,0.8
2/14/2023 14:15,0.84
2/14/2023 14:16,0.85
2/14/2023 14:17,0.84
2/14/2023 14:20,0.84
2/14/2023 14:21,0.82
2/14/2023 14:22,0.85
2/14/2023 14:53,1.06
2/14/2023 14:55,1.06
2/14/2023 14:56,1.06
2/14/2023 14:58,1.07
2/14/2023 15:00,1.07
2/14/2023 15:01,1.06
2/14/2023 15:03,1.06
2/14/2023 15:05,1.07
2/14/2023 15:06,1.07
2/14/2023 15:08,1.06
2/14/2023 15:10,1.08
2/14/2023 15:11,1.06
2/14/2023 15:13,1.04
2/14/2023 15:15,1.02
2/14/2023 15:16,1.02
2/14/2023 15:18,1
2/14/2023 15:20,1.01
2/14/2023 15:21,0.99
2/14/2023 15:23,0.98
2/14/2023 15:26,0.94
2/14/2023 15:28,0.94
2/14/2023 15:31,0.88
2/14/2023 15:33,0.85
2/14/2023 15:36,0.85
2/14/2023 15:38,0.84
2/14/2023 15:41,0.82
2/14/2023 15:43,0.84
2/14/2023 15:46,0.86
2/14/2023 15:48,0.85
2/14/2023 16:02,0.98
2/14/2023 16:03,0.97
2/14/2023 16:06,0.92
2/14/2023 16:08,0.94
2/14/2023 16:11,0.93
2/14/2023 16:13,0.96
2/14/2023 16:16,0.96
2/14/2023 16:18,0.94
2/14/2023 16:21,0.92
2/14/2023 16:23,0.93
2/14/2023 16:26,0.98
2/14/2023 16:28,0.99
2/14/2023 16:31,1.01
2/14/2023 16:33,1
2/14/2023 16:36,1.02
2/14/2023 16:38,1
2/14/2023 16:41,1.02
2/14/2023 16:43,0.99
2/14/2023 16:46,0.99
2/14/2023 16:48,0.96
2/14/2023 16:51,0.95
2/14/2023 16:53,0.94
2/14/2023 16:56,0.88
2/14/2023 16:58,0.86
2/14/2023 17:21,0.72
2/14/2023 17:23,0.76
2/14/2023 17:26,0.83
2/14/2023 17:28,0.84
2/14/2023 17:31,0.8
2/14/2023 17:33,0.78
2/14/2023 17:36,0.78
2/14/2023 17:38,0.81
2/14/2023 17:41,0.82
2/14/2023 17:43,0.81
2/14/2023 17:46,0.8
2/14/2023 17:48,0.8
2/14/2023 18:06,0.87
2/14/2023 18:08,0.92
2/14/2023 18:11,0.95
2/14/2023 18:13,0.97
2/14/2023 18:55,0.96
2/14/2023 18:59,0.94
2/14/2023 18:59,0.94
2/14/2023 19:01,0.9
2/14/2023 19:03,0.92
2/14/2023 19:06,0.93
2/14/2023 19:08,0.94
2/14/2023 19:11,0.94
2/15/2023 12:06,0.86
2/15/2023 12:08,0.84
2/15/2023 12:08,0.84
2/15/2023 12:11,0.81
2/15/2023 12:13,0.83
2/15/2023 12:13,0.83
2/15/2023 12:16,0.8
2/15/2023 12:18,0.81
2/15/2023 12:18,0.83
2/15/2023 12:21,0.84
2/15/2023 12:23,0.85
2/15/2023 12:23,0.88
2/15/2023 12:26,0.88
2/15/2023 12:28,0.9
2/15/2023 12:28,0.89
2/15/2023 12:31,0.9
2/15/2023 12:33,0.9
2/15/2023 12:33,0.9
2/15/2023 12:42,0.94
2/15/2023 12:43,0.92
2/15/2023 12:43,0.93
2/15/2023 12:46,0.94
2/15/2023 12:48,0.9
2/15/2023 12:48,0.9
2/15/2023 12:51,0.93
2/15/2023 12:53,0.91
2/15/2023 12:53,0.91
2/15/2023 12:56,0.88
2/15/2023 12:58,0.88
2/15/2023 12:58,0.86
2/15/2023 13:01,0.82
2/15/2023 13:03,0.84
2/15/2023 13:03,0.84
2/15/2023 13:06,0.83
2/15/2023 13:08,0.82
2/15/2023 13:08,0.79
2/15/2023 13:11,0.84
2/15/2023 13:13,0.84
2/15/2023 13:13,0.82
2/15/2023 13:16,0.83
2/15/2023 13:18,0.82
2/15/2023 13:18,0.82
2/15/2023 13:21,0.86
2/15/2023 13:23,0.86
2/15/2023 13:23,0.86
2/15/2023 13:26,0.86
2/15/2023 13:28,0.85
2/15/2023 13:28,0.86
2/15/2023 13:31,0.86
2/15/2023 13:33,0.83
2/15/2023 13:33,0.8
2/15/2023 13:36,0.8
2/15/2023 13:38,0.81
2/15/2023 13:38,0.82
2/15/2023 13:41,0.82
2/15/2023 13:43,0.81
2/15/2023 13:43,0.79
2/15/2023 13:46,0.79
2/15/2023 13:48,0.8
2/15/2023 13:48,0.77
2/15/2023 13:51,0.77
2/15/2023 13:53,0.76
2/15/2023 13:53,0.78
2/15/2023 13:56,0.76
